SITE NAME,DEALER,PHYSICAL ADDRESS,Suburb,TEL NO,FAX NO,CELL NO,Custodian
Abisha Motors,Rita Kruger,Troye Str Sunnyside Pta,I North,012 440 4244,012 440 4245,082 468 8656 ,Willem Goudriaan
Abrona,Du Breez Leon,"530 Bekker Street.Vorna Valley,Midrand",3rd North,011 3121741,011 3121045,082 672 7200,Muneer Patel
ADMIN S.S,LOWEN MAUPA,"2169 MASAKHANE STR, ADMIN BLOCK",G East,,(011) 622 9980,083 326 3996,closed
Adriaana,Van Rensberg Adiana,157 Main Reef Road. Lewisham,3rd West,,,,Clint Gali
Albys,Molensdorff Rina,40 Magaliesburg Road. Elandsrand,3rd North,012 5491572,012 5491573,n\a,Willem Goudriaan
Alexandra Service Stn,Mark Maitland,Cnr Rooseveldt & ,G Centr,072 338 8838,,,Nkosinathi
ALFA BOKSBURG,MOHAMMED ESSOP,"234 COMMISSIONER STR, BOKSBURG",G East,(011) 917 - 9536,(011) 917 - 2091 ,083 276 1244,Muneer Patel
ALL AFRICA VILLAGE,Vincent Molokwu,2981  Far East Bank Ext 4,G Centr,011-264 5901,,,Nkosinathi
Allandale,Moebeen Dassoo,Allandale Rd Geln Austin,G Centr,310-8171,310-9689,082-491-0587,Nkosinathi
ALPHEN PARK MOTORS ,JOHAN DE BEER,"15 MERCURY ST ALPHEN PARK, BENONI",G East,(011) 894 - 6312,(011) 894 - 3210,082 557 3581,Muneer Patel
Annlin Plaza ,,,3rd North,,,,CLOSURE
ARCON PARK F/STN ,PEET DU PREEZ,"Cnr Arum & Lee Street, Arcon Park ",G SW,016 - 428 3261,016 - 428 5391,083 266 3386/5,Clint Gali
ARMSTRONG 1 S/STN ,ARMSTRONG MOTALE ,"4497 Moshoeshoe Road, Sebokeng ",G SW,016 - 594 4980,Ask,083 397 2375,Clint Gali
ARMSTRONG 2 S/STN ,ARMSTRONG MOTALE ,"2 Vilakazi Road, Sebekeng ",G SW,016 - 594 4980,Ask ,083 397 2375,Clint Gali
ARMSTRONG 3 S/STN ,ARMSTRONG MOTALE ,"394 Adams Road, Sebokeng ",G SW,016 - 594 4980,Ask ,083 397 2375,Clint Gali
Armstrong Auto S/Stn,ARMSTRONG MOTALE ,"Main Reef Rd, Langlaagte",3rd South,,,,Clint Gali
Atlas Rd S/Stn,W.Olivier,DeHaviland Av. Boksburg East,3rd East,011x8947165,011x8947164,082 557 7547,Muneer Patel
Auto Mart,Howard Buck,Central St Kempton park,G Centr,975-0793,394-2331,084-404-0004,Nkosinathi
Avondale S/S (De Beers ss),S. DE Beer,Pretoria Rd. Primrose Germiston,3rd East,011x8288174,011x8288174,084 706 6941,Muneer Patel
Avonlea,Willie Ludick,Fourth Rd Bredell,G Centr,396-2023,396-2615,082-899-1367,Nkosinathi
Azzurri Conv CEN,Rob Dubbini,"12 Mouton Rd, Horizon View",G Centr,763 3256,762 3410,083 400 9944,Nkosinathi
Bachmann Motorhawe,Gert v Vuuren,Doreen & frans du Toit St Rosslyn,I North,012 541 3034,012 541 5042,082 470 7013,Clint Gali
Bakenkop,Willem Potgieter,Theuns v Niekerk St Wierdapark,G Centr,653-4139,653-2471,082-556-5723,Nkosinathi
Bakers Garage,Len Baker,12 Thabo Mbeki Street,I North,015-295-4641,015 295 3105,,Willem Goudriaan
BASIC MOTORS ,VICTOR SITHOLE ,"CNR 5620 BEN NAUDE DRIVE & IMMUNIL, DIEPKLOOF, SOWETO ",G SW,011 - 985 1075,011 - 982 5511,083 375 4555,Clint Gali
Basil Orr,Basil  Orr,Randfontein Road Westonaria,3rd South,011x7515547,011x7541777,073 149 4697,Clint Gali
Bassonia CC,NAINESH SEETHA,"Cnr Comaro & Soet Doering, Bassonia ",G SW,011 - 432 3680,011 - 432 3082,083 680 7985,Clint Gali
Basson's Conv Ctr.,Stoffel & Eileen Gebhardt,"Cnr Ham & General Pienaar streets, Witpoortjie",G Centr,664 7210,955 3124,082 878 1997,Nkosinathi
BATEBANG S.S,OUPA RAKOSA,"819 MAPHIKE STR, RAMOKONOPI SECTION, KATLEHONG",G East,(011) 905 4890,(011) 860 1889,082 453 2837,Muneer Patel
BAYLEY STREET MOTORS,PETER MATHEWS ,6 BAYLEY ST FARRARMERE,G East,(011) 425 - 1041 ,(011) 425 - 1041,082 887 2195,Muneer Patel
BB Motors s/s,Harriet Hofsink,987 Pieneef Drive. Villieria,3rd North,012 3295849,012  329-9869,083 979 6822,Muneer Patel
Behrens Garage,Org Joubert,Hendrik Verwoerd Ave Brits,I North,012 252 3335,012 252 3568,082 450 6887,Clint Gali
BELAPHIL,KALLIE PAXTON,"176 KINGFISHER AVE, FREEWAY PARK, BOKSBURG",G East,(011) 893-2018/9  ,(011) 893 - 2017 ,082 561 5866,Muneer Patel
Belfast 1 Stop,Fritz Van Der Merwe,"N4 Main Road, Belfast",1 STOP,013 2530433,013 2530841,082 898 3926,Muneer Patel
Belladonna Motors,Kenny Sonnekus,"67 Belladonna Rd, Nelspruit",I North,013 741 2217,013 741 2217,082 889 9562,Willem Goudriaan
Berea,CLOSED,,3rd North,,,,Muneer Patel
Berea Conv Cen.Nth,Shadrack Khumalo,Andries Str Berea Pta,I North,012 322 8934,012 322 8935 ,072 330 9648,Willem Goudriaan
Beverley Hills s/s,DIMAKATSO RAMUBUSA ,"843 Hollywood Road, Beverley Hill s",G SW,016 5820631,016 - 429 - 3671,082 737 8636,Clint Gali
Big Boy,Sebesebe Bigboy,Main Rd. Ga - Masemola,3rd North,015 6336111,015  6336111,082 452 1012,Willem Goudriaan
BILTON RET CEN,JULIUS SCHWARTZ,"15 BUNYAN STREET, BENONI",G East,(011) 421 9149,(011) 421 5681,082 463 8750,Muneer Patel
Birchleigh CC,Thabo Tlhakoane,Elgin Rd Birchleigh,G Centr,972-5650,972-5552,084-405-5915,Nkosinathi
Birchleigh North,David Gregory,Mooifontein Rd ,G Centr,011-972 5111,,,Nkosinathi
BLANCHEVILLE RET CEN,JOHAN LABUSCHAGNE,"JOUBERT STR BLANCHEVILLE, WITBANK",G East,(013) 650 2048,(013) 243 4452,082 893 7100,Muneer Patel
BLINKWATER MOTORS,HANNES SWART,MAIN ROAD STOFBERG,G East,(013) 271 0025,ASK,072 186 0251,Muneer Patel
Blockhouse 1 Stop North,Ralph Ellis,"R59 Highway, Daleside",1 STOP,016 3660335,016 3661420/1,083 266 9132,Muneer Patel
Blockhouse 1 Stop South,Ralph Ellis,"R59 Highway, Daleside",1 STOP,016 3660335,016 3661420/1,832669132,Muneer Patel
Blue Haze Fill Stn,Paul Bruce-Brand,"Blue Haze Cen, Hazyview",I North,013 737 7018,013 737 7018,083 448 6150,Willem Goudriaan
Boshoek Garage,Willie Broodryk,Main Str Boshoek,I North,014 573 3556,014 573 3233,083 235 2288,Clint Gali
Boss  Ser Stn,Kobus Horn, 3184 Block L Soshanguve,I North,012 799 7884,,082 622 2004,Willem Goudriaan
Bosveld Motors,Abrie Jansen van Vuuren,"2 Wells Str, Lephalale",I North,014 763 4587,014 763 3491,082 468 8674,Willem Goudriaan
Bowers Garage,Adrie Botha,12 Witklip Street Ladana,I North,015-293-0229,015 293 0229,082-965-9007,Willem Goudriaan
BRA THOMS ,LUCKY MELOA ,"3446 Adams Road, Sebokeng ",G SW,,,083 237 6912,Clint Gali
Brackenten s/s,SIEG / HENNIE GROENEWALD,CNR 24 DE WAAL SOETDORING ST BRACKEN DOWNS ,G SW,011 - 867 3638,011 - 867 2699,082 3391 252,Clint Gali
Brackenview s/s,DIPS NAIK ,43 HENNIE ALBERTS ST BRACKENHURST ,G SW,011 - 867 3526/7,011 - 867 3528,082 4470 268,Clint Gali
Bramley,Aziz Merchant,Louis Botha Ave,G Centr,011-440 1621,,,Nkosinathi
BRENTEL MOTORS,FERNANDO & GREG SOARES,86 ANDRIES PRETORIUS ST EASTLEIGH EDENVALE,G East,(011) 452 - 6303,(011) 452 -6302,082 927 6236,Muneer Patel
BRENTWOOD S/STN,DUNCAN MCINTYRE,"CNR CELIEA NESTADT & GREAT NORTH RD, BRENTWOOD PARK",G East,(011) 973 - 3003,(011) 973 - 5459,082 777 7566,Muneer Patel
Bridge S/Stn,E. Moosa,Commissioner St. Boksburg,G East,011x9145170,011x4215805,822534857,Muneer Patel
Britsweg,Willie Van Heerden,Brits Road. Tileba,3rd North,012 5655621,012 5656489,,Willem Goudriaan
BROADWAY CONV CEN,CHRIS COETZEE,C/O DIEDERICKS ST,G East,(656 - 3057,656 - 3057,082 440 3000,Muneer Patel
Bromhof S.S ,Rafik Mahomed ,"Cnr Tin Rd & CR Swart Dr, Bromhof, Randburg",G Centr,792-1564,n/a ,082-678-0639,Nkosinathi
Brooks Motors,John Lansdell,"98 Landros Maree Str, Pietersburg",I North,015 297 1106,015 297 4292,084 585 8300,Willem Goudriaan
Bryanston CC ,Sohail Shaik,"11 Sloane St, Epson Downs, Bryanston",G Centr,706-7125,706-1492,083-660-4989,Nkosinathi
Bryanston Service City (Zenex),Adam Jhavary ,"8 Peter Place, Bryanston",G Centr,706-5997,463 3068,082-774-6922,Nkosinathi
Bush Hill Zenex,Schalk Grunow,Cnr Duikers & Beyers Naude Dr,G Centr,794-4466,794-7973,082-900-0006,Nkosinathi
C & B s/s,Bharat Bullha,1 George Ave,G Centr,011-640 3198,,,Nkosinathi
C & M Motors,Justin du preez,"37 Mphemphu Str, Sibasa",I North,015-963-1384,015 963 1384,082-898-5323,Willem Goudriaan
CAMBRIDGE MOTORS,WILLEM LABUSCHER,"102 CAMBRIDGE STR, FARRAMERE. BENONI",G East,(011) 849 6713,(011) 425 2875,083 325 6681,Muneer Patel
CAMPUS MOTORS,NAZIR TALIA,Perth / Lewis Rd Wstdene,G SW,011 - 726 2205,011 - 482 2244 ,082 320 6454,Clint Gali
CARNIVAL CITY SERVICE STN,LIJANE MAQELEPO,"HEIDELBERG RD & R554, DALPARK BRAKPAN",G East,(011) 915 - 8259,(011) 915 - 4270,083 395 3742,Muneer Patel
CAROLINE CONV. CEN,ZAKHELE RADBE ,"6568 MOOKI STREET, ORLANDO EAST ",G SW,011 - 935 1712,011 - 935 1027,082 436 2553,Clint Gali
CASSELDALE RET CEN,WILLEM/AMANDA GROBLER,"1 CLYDESDALE ROAD, CASSELDALE, SPRINGS",G East,(011) 812 1064 ,(011) 815 2331 ,083 289 1720,Muneer Patel
Castlewalk,Jan Kruger,Nossob St Erasmuskloof,G Centr,347-6004,347-6004,082-553-0060,Nkosinathi
CENTRE S.S,DAVID MOTSHWENI,"20059 EISELEN STR, DAVEYTON",G East,(011) 424 7021,ASK,082 901 6378,Muneer Patel
Centurion Motors,van Rensburg Christo,Lenchen Avenue South. Centurion,3rd North,012 6634718,012 6634738,083 4538215,Closure
Centurionpark,Paul Richards,Heuwel Ave Centurion,G Centr,663-8818,663-5064,082-572-1734,Nkosinathi
Cewe Diensstasie,Christine Wenhold,Botha Street Northam,I North,014 784 0518,014 784 0518,083 499 7478 ,Clint Gali
CJ ss,Claude Comoroff,Rustenburg Rd Victorypark,G Centr,888-2718,888-4391,076-721-1495,Nkosinathi
Clewer F/Stn,T.Sherhzad,Ascot Ave. Clewer Witbank,3rd East,013x6597700,013x6597700,082 819 4353,Closure
Cliffendale Motors,Gary Venn,Cliffendale Drive Faerie Glen,I North,012 991 0123,012 991 0124,082 929 9708,Willem Goudriaan
Clive's ss,Clive Husband,Industry Rd Isando,G Centr,392-4576,974-2237,082-892-0104,Nkosinathi
Codonia Quick Stop,Dalene vd Westhuizen,Codonia Aven Waverley Pta,I North,012 332 0581,012 332 0581 ,083 458 5298,Willem Goudriaan
COLUMBINE S/STN,MORONGOE MALULEKE ,"272 COLUMBINE AV, MONDEOR",G SW,011 - 680 7905,011 - 680 7905,082 4150 914,Clint Gali
Conrad,Johan Wessels,Conrad Dr Blairgowrie,G Centr,886-1540,886-1540,082-855-5314,Nkosinathi
COOPERS,SHAKIR MOHAMMED,BYPASS ROAD MBABANE,G East,09268 404 7551,09268 - 4042926,,Willem Goudriaan
Copper Motors,Eric Liebert,Harold Greenfell St Messina,I North,015-534-2185,015 534 2195,082-951-1881,Willem Goudriaan
CORGI MOTORS,MANNY FRADE,"Cnr Boundary & Verwoerd Streets, Meyerton ",G SW,016 - 363 0742,016 - 363 0751,083 302 4798,Clint Gali
CORLETT DRIVE S/STN,Craig Ginsberg ,92 Corlett Drive,G Centr,011-887 8067,,,Nkosinathi
Cornwallview,Henk v Heerden,Piering St Elarduspark,G Centr,345-1892,345-5022,082-900-8602,Nkosinathi
Cosmopolitan (ex Kyasands),Denesh Ramraj,Hans Strijdom Dr Kya Sands,G Centr,708-3442,708-2687,083-324-5825,Nkosinathi
Country View,Jayant Pema,Lever Rd Countryview,G Centr,318-1614,318-1572,072-474-7477,Nkosinathi
Cozzy Corner (ex Welcome),Muzaffer Kummander,Cnr. 1st Ave & 1st Street. Marlboro,G Centr,011  4442232,,082 5524238,Nkosinathi
Craig Joss Motors,Craig Joss,Voortrekker Rd Gezina,I North,012 335 6464 ,012 335 0249,082 566 7403,Willem Goudriaan
CROSSMAN MOTORS,WYNANDA GREEF ,"85 BEZUIDENHOUT STR, LORENTZVILLE ",G SW,011 - 6149327,011- 614 9327,,Clint Gali
Crossroads Fill Stn,Sydney Marapjane,Marken Rd Mahwelereng,I North,015 485 0010,015 485 0010,072 102 6999,Willem Goudriaan
Crossroads S/Stn,R. Hallam,Mullens Road Malvern East,3rd East,011x6165000,011x6167762,,Muneer Patel
CRYSTAL PARK FILLING,,Sentrust St Crystal Park Benoni,3rd East,N/A,N/A,,Muneer Patel
CUSTOM MOTORS,Mr VALETIM,"BYPASS ROAD SIDWASHINI, SWAZILAND",G East,09268 - 603459,09268 - 4220746,,Willem Goudriaan
Cyrildene s/s,George Afonso,"31 Marcia Str,Cyrildene",3rd South,011 616-7632,011 616-7632,082 852 9767,Clint Gali
D & J Motors,Helgard Muller,Church Str Pretoria West,I North,012 327 0349,012 327 0350,083 459 4080,Willem Goudriaan
DALVIEW DIENSSTASIE,AADIL ADAMJEE,HENDRIK PORGIETER & BEKKER ST DALVIEW,G East,(011) 744 - 2383,(011) 744 - 2368,084 662 2345,Muneer Patel
Damdoryn Motors,Rodger Concalves,Old Rustenburg Rd Hartebeespoort Dam,I North,012 253 0953,012 253 1211,083 334 4849,Clint Gali
DANMAR F/S,MR VAN ROOYEN,44 JACOBS STR HEIDELBURG,G East,(016) 349 2048,ASK,,Muneer Patel
De Wiekus,Brandon Shaw,De Wiekus Rd Van Riebeeckpark,G Centr,976-1577,393-5260,084-625-6250,Nkosinathi
De Wildt,Luke Steyn,Plot 36. Krelingspost. De Wildt,3rd North,012 5041811,012 5041811,072 5224244,Willem Goudriaan
DEL JUDOR,DRIES MARX,GERINGER ST DEL JUDOR,G East,013 697 - 1009,013 692 - 4676,082 459 4162,Muneer Patel
Delfi Mtrs,Farhad Carrim,Fifth St Albertsville,G Centr,477-1020,086-612-7401,082-557-1872,Nkosinathi
Derdepark Motors,Piet vd Watt,Plot 190 Zambezi Drive Ext,I North,012 808 0402,012 808 0698,083 310 5418,Willem Goudriaan
Detroit ss,Kevin Cloete,Pretoria Rd Kemptonpark,G Centr,394-9086,394-9087,083-272-1549,Nkosinathi
DEVLAND CONV. CEN ,ISMAIL ABOOBAKER,"GOLDEN HIGHWAY, DEVLAND ",G SW,011-933 2567,011 - 938 5242,083 3692 284,Clint Gali
Dindar 2 (ex ABI),RIDWAAN DINDAR ,Taj Mahal & Madina. Azaadville,3rd West,011 4131415,011 4133138,,Clint Gali
DINDAR F/STN ,RIDWAAN DINDAR ,"CNR AZAAD & TAJ MAHAL AVENUE, AZAADVILLE",G SW,011 4131225,ASK ,082 851 7279,Clint Gali
Dinwiddie S/Stn,F.Louw,"Black Reef Rd, Dinwiddie",3rd East,011x9021400,011x9021400,823134362,Muneer Patel
DJ MOTORS,DAWID VILJOEN,CNR STUART & JOUBERT STR BALFOUR,G East,(017) 7730432,(017) 7730432,,Muneer Patel
Dodson Motors,Bonnie Sachane,Watermeyer Rd Meyerspark,I North,012  803 0841,012 803 0841,082 801 2944,Willem Goudriaan
Doringkloof,Wim Saaijman,"Asterlaan St3, Doringkloof Centurion",G Centr,667-1041,667-1300,082-578-1210,Nkosinathi
DP Tyres,Amanda van Eeden,Punda Maria Rd Thohoyandou,I North,015-964-1004,015 964 3017,082-301-8448,Willem Goudriaan
Dube S/Stn,K.Kubheka/Balanga,Mahalefele St. Dube Soweto,3rd South,011x9821063,N/A,082 958 6219,Clint Gali
Dumela S/Stn,CLOSED,CLOSED,3rd East,N/A,N/A,N/A,CLOSED
DUMOR MOTORS,SOCKS ARGYROU,"120 FOURTH AV GEDULD, SPRINGS",G East,(011) 811-4880,(011) 811 - 4881,082 375 1512,Muneer Patel
DUNEDEN S.S,MAC MCINTYRE,23 ANDRIES PRETORIUS ST EDENVALE ,G East,(011) 609 - 7007,(011) 609 -4439,082 777 7566,Muneer Patel
DUTTON MOTORS,PIETER,"Cnr Eric Louw & Fitchardt Streets, Sasolburg ",G SW,016 - 970 8000,016 - 976 2001,083 273 8795,Clint Gali
Dynamic S/Stn,Clive Pillay,Roussouw Road Wadeville ,3rd East,011x8243209,011x8243228,082 463 6142,Closure
EAGLE'S NEST S.S,AREND/SUSAN JANSEN,54 NIGEL ROAD DUNNOTAR,G East,,(011) 734 4540,083 442 0500,Muneer Patel
Eastvale S/Stn,Pier Jordaan,Outeniqua Rd. Mooder Eastt,3rd East,011x4231365,011x8281341,082 753 7152,Muneer Patel
Eastway Motors,Andrew Tzircalle,15th Ave Rietfontein,I North,012 329 3032,012 329 3033,083 327 2549,Willem Goudriaan
Easy Fill Stn,Ashraf Osman,217 Jewel Str Laudium,I North,012 374 6449,012 374 6429,,Willem Goudriaan
EBENHAESAER MOTORS ,JOHAN / ANNET ,"99 RUSTENBURG ROAD, KRUGERSDORP",G SW,011 - 660 5642,011 - 660 8868,083 556 2758,Clint Gali
EDELWEISS S/STN,KOBUS SMITH ,"2 GEMSBOK ST EDELWEISS, SPRINGS ",G East,(011) 363 - 1500,(011) 363 - 0749,082 373 0208,Muneer Patel
Edenburg CC (Zenex),Andre Jacquesson ,"6 De La Rey Ave, Edenburg, ",G Centr,807 7836,803 1917,082 5610 024,Nkosinathi
EDENGLEN MOTORS ,AHN YOUNG,CNR BAKER & FERERO RD EDENGLEN,G East,(011) 452 - 3602,(011) 452 - 2594,082 443 5093,Muneer Patel
ED's Toyota,,Closure,3rd West,014 577 1247,014 577-1080,082 571 1100,CLOSED
El Madre Motors,Philip Olivier,"108 Ferreira Street, Nelspruit",I North,013 744 1156,013 744 1385,082 551 1110,Willem Goudriaan
Elarduspark,Ria Strydom,Piering St Elarduspark,G Centr,345-2577,345-2577,082-879-1772,Nkosinathi
ELLIS PARK  S/STN ,THABANG MAQALEPO ,"Charlton Str, Ellispark, Jhb",G SW,011 - 402 2408,011 -  402 2409,082 386 8777,Clint Gali
ELM STREET S.S,RODNEY WOLMER,"CNR ELM & LINKSFIELD RD DOWERGLEN, EDENVALE",G East,(011) 453 - 2033,(011) 453 9268,083 260 8550,Muneer Patel
EM Mtrs,E.Mngomezulu,Main road Embalenhle Secunda,3rd East,017x6852573,017x6852573,083 552 5854,Closure
Emerald Motors,Johan Marx,"425 Playfair Boulevard, Vanderbijlpark",3rd South,016 9311799,016 9819006,072 493 7773,Clint Gali
Emmarentia,Avishkar Dukhi,Tana Rd Emmarentia,G Centr,888-9839,782-4477,083-379-3338,Nkosinathi
Empire s/s,ESSIE ESTERHUYSEN,Empire Road,G SW,011 - 482 5276,011 - 482 5903,082 4525 394,Clint Gali
ENGEN ERMELO,PIETER SENEKAL,VOORTREKKER ST ERMELO,G East,819 - 3943,811 - 2166,082 496 8219,Muneer Patel
Engen Hillcrest,Lourens Olivier,Duxbury Rd Hillcrest,I North,012 362 1021,012 362 1022,083 469 3322,Willem Goudriaan
Engen Isando ,Mohammed Cajee,Foundry Rd Isando,G Centr,974-6811,974-6811,083-229-5434,Nkosinathi
Engen Kelvin,Russell Ngwamba,Southway Street Kelvin,G Centr,802-3439,802-5366,082 888 1149,Nkosinathi
Engen Lydenburg,Abdool Kalla,"19 De Clerq Str, Lydenburg",I North,013 235 4302,013 235 4302,0827862768,Willem Goudriaan
Engen Plaza,Franz Reyneke,Oliver Tambo Ave Rustenburg,I North,,,082 453 1390,Clint Gali
ENGEN RIVER SQUARE,PETER / ELIZE ,"5 Nile Drive, Vereeniging",G SW,016 - 454 8686,Ask ,082 327 7726,Clint Gali
ENGEN THREE RIVERS,ISMAIL / ANVER,"48 Umtata Street, Vereeniging",G SW,016 - 423 7697,016 - 423 1178,083 232 8786,Clint Gali
Engen Tzaneen,Ehsan Hassim,38 Danie Joubert Str Tzaneen,I North,015 307 4408,015 307 1058,082 786 4409,Willem Goudriaan
ENGEN VAN BUUREN,NIREN HARDUTH,CNR KLOOF & VAN BUUREN RDS,G East,(011) 450 - 1134,(011) 450 - 4378,082 451 0614,Muneer Patel
ENGN PIT-STOP ERMELO,MUHAMMED/BHYAT,63 KERK STR ERMELO,G East,(017) 811 1987,ASK,082 450 7723,Muneer Patel
Entanya,Nyamane Enoch/Lizzie,701 Block G. Soshanguve,3rd North,012 6634718,012 7976301,083 9863084,Willem Goudriaan
Erasmusrand,Johan Slabbert,Rigel Ave Erasmusrand.,G Centr,347-0566,347-1230,082-465-0940,Nkosinathi
ETETENI RET CEN,MR DLAMINI/MDZINISO,MATSAPA/MANZINI HIGHWAY SWAZILAND,G East,09268 -5187758,ASK,,Willem Goudriaan
EVANDER GARAGE,GERT HATTING,McGILL Dr EVANDER,G East,632 - 2268,632 - 2903,083 462 9952,Muneer Patel
