Code,Description,CompCode,CompDescr,Code,Description
BLD_ANCY,Ancillary,EQ001,Graffiti Re-painting Set,PR6000,Painting maintenance required
BLD_ANCY,Ancillary,EQ002,Painting,PR6000,Painting maintenance required
BLD_ANCY,Ancillary,EQ003,Pest Control,PR6001,Pest control / elimination required
BLD_ANCY,Ancillary,EQ443,Fuel Spill Absorbant Material,PR6487,Used absorbant material removal required
BLD_ANCY,Ancillary,EQ444,Drinking Water Well,PR6488,Test well drinking water sampling test required
BLD_ANCY,Ancillary,EQ444,Drinking Water Well,PR6490,Test well pump faulty
BLD_CAN,Canopy,EQ005,Canopy,PR6003,Major structural damage (HSSE Hazard)
BLD_CAN,Canopy,EQ007,Canopy Ceiling,PR6003,Major structural damage (HSSE Hazard)
BLD_CAN,Canopy,EQ008,Canopy Roof,PR6003,Major structural damage (HSSE Hazard)
BLD_CAN,Canopy,EQ010,Canopy Stanchion,PR6003,Major structural damage (HSSE Hazard)
BLD_CAN,Canopy,EQ013,HGV Canopy,PR6003,Major structural damage (HSSE Hazard)
BLD_CAN,Canopy,EQ014,HGV Canopy Ceiling,PR6003,Major structural damage (HSSE Hazard)
BLD_CAN,Canopy,EQ015,HGV Canopy Roof,PR6003,Major structural damage (HSSE Hazard)
BLD_CAN,Canopy,EQ016,HGV Canopy Stanchion,PR6003,Major structural damage (HSSE Hazard)
BLD_CAN,Canopy,EQ005,Canopy,PR6004,Minor structural damage
BLD_CAN,Canopy,EQ007,Canopy Ceiling,PR6004,Minor structural damage
BLD_CAN,Canopy,EQ008,Canopy Roof,PR6004,Minor structural damage
BLD_CAN,Canopy,EQ010,Canopy Stanchion,PR6004,Minor structural damage
BLD_CAN,Canopy,EQ013,HGV Canopy,PR6004,Minor structural damage
BLD_CAN,Canopy,EQ014,HGV Canopy Ceiling,PR6004,Minor structural damage
BLD_CAN,Canopy,EQ015,HGV Canopy Roof,PR6004,Minor structural damage
BLD_CAN,Canopy,EQ016,HGV Canopy Stanchion,PR6004,Minor structural damage
BLD_CAN,Canopy,EQ008,Canopy Roof,PR6045,Major roof leak (HSSE Hazard)
BLD_CAN,Canopy,EQ008,Canopy Roof,PR6046,Minor roof leak
BLD_CAN,Canopy,EQ005,Canopy,PR6481,Clear debris from canopy roof
BLD_CAN,Canopy,EQ008,Canopy Roof,PR6481,Clear debris from canopy roof
BLD_CAR,Carwash Building,EQ017,Carwash Bay Heaters,PR6006,Bay heaters (frost protection system) faulty
BLD_CAR,Carwash Building,EQ017,Carwash Bay Heaters,PR6007,Bay heaters (frost protection system) totally inoperative (winter)
BLD_CAR,Carwash Building,EQ018,Carwash Building,PR6008,Cabinet damaged
BLD_CAR,Carwash Building,EQ019,Carwash Floor,PR6009,Floor surfaces cracked or damaged
BLD_CAR,Carwash Building,EQ020,Carwash Floor Leak Tight Surface,PR6010,Leak proof surfaces cracked or damaged
BLD_CAR,Carwash Building,EQ021,Carwash Floor Tiles,PR6011,Floor tiles damaged or missing
BLD_CAR,Carwash Building,EQ022,Carwash Wall,PR6012,Walls cracked or damaged
BLD_CAR,Carwash Building,EQ024,Washbox / Jetwash Building,PR6014,Jet wash bays or screens damaged
BLD_CAR,Carwash Building,EQ023,Carwash Wall Tiles,PR6051,Wall tiles damaged or missing
BLD_DOM,Restroom,EQ030,Restroom building Floor,PR6009,Floor surfaces cracked or damaged
BLD_DOM,Restroom,EQ031,Restroom building Floor Tiles,PR6011,Floor tiles damaged or missing
BLD_DOM,Restroom,EQ032,Restroom building Wall,PR6012,Walls cracked or damaged
BLD_DOM,Restroom,EQ028,Restroom,PR6016,General maintenance or damage
BLD_DOM,Restroom,EQ029,Restroom building Ceiling,PR6017,Ceiling leaking or damaged
BLD_DOM,Restroom,EQ033,Restroom building Wall Tiles,PR6051,Wall tiles damaged or missing
BLD_DOM,Restroom,EQ028,Restroom,PR6461,Restroom Disabled Persons Rail Damaged
BLD_DOOR,Doors,EQ036,External Security Door,PR6018,Door faulty or damaged
BLD_DOOR,Doors,EQ037,Internal General Door,PR6018,Door faulty or damaged
BLD_DOOR,Doors,EQ038,Internal Security Doors,PR6018,Door faulty or damaged
BLD_DOOR,Doors,EQ040,Shop Automatic Doors,PR6018,Door faulty or damaged
BLD_DOOR,Doors,EQ041,Shop Entrance Sliding / Normal Doors,PR6018,Door faulty or damaged
BLD_DOOR,Doors,EQ042,Workshop Main Doors,PR6018,Door faulty or damaged
BLD_DOOR,Doors,EQ043,Workshop Roller Doors,PR6018,Door faulty or damaged
BLD_DOOR,Doors,EQ034,Carwash Automatic Door Controls,PR6019,Automatic door motor faulty
BLD_DOOR,Doors,EQ039,Shop Automatic Door Controls,PR6019,Automatic door motor faulty
BLD_DOOR,Doors,EQ040,Shop Automatic Doors,PR6020,Glass broken (HSSE Hazard)
BLD_DOOR,Doors,EQ041,Shop Entrance Sliding / Normal Doors,PR6020,Glass broken (HSSE Hazard)
BLD_DOOR,Doors,EQ040,Shop Automatic Doors,PR6021,Glass cracked
BLD_DOOR,Doors,EQ041,Shop Entrance Sliding / Normal Doors,PR6021,Glass cracked
BLD_DOOR,Doors,EQ035,Carwash Main Doors,PR6022,Car wash entry / exit door faulty or damaged
BLD_DOOR,Doors,EQ449,Restroom Automatic Door Controls (Disabled Persons),PR6485,Restroom disabled persons pushbutton door control faulty
BLD_PLUM,Plumbing,EQ050,Water Softener,PR6024,Water softener unit faulty
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6025,Air unit compressed air pipe-work damaged
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6026,Water leaks (pipework or drainage systems)
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6027,Water supply blocked or faulty (no water)
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6028,"Bad smell, unknown source"
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6029,Clean /Soapy water unit not operational
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6030,Leaking taps or fittings (water)
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6031,Major leak: burst pipe-work / flood
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6032,Minor leaks or pipe-work repairs
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6033,No hot water
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6034,No water / low pressure at sink / toilet / urinal
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6035,Toilet / urinal blocked
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6036,Water not draining away - one drain blocked
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6037,Water not draining away - several drains blocked
BLD_PLUM,Plumbing,EQ047,Showers,PR6038,Shower units faulty or damaged
BLD_PLUM,Plumbing,EQ048,Sinks and Basins,PR6039,Sink or basin broken
BLD_PLUM,Plumbing,EQ049,Toilets and Sanitary ware,PR6040,Sanitary equipment faulty / damaged
BLD_PLUM,Plumbing,EQ049,Toilets and Sanitary ware,PR6041,Toilet / urinal broken
BLD_PLUM,Plumbing,EQ049,Toilets and Sanitary ware,PR6042,Toilet / urinal cistern faulty or damaged
BLD_PLUM,Plumbing,EQ049,Toilets and Sanitary ware,PR6043,Toilet / urinal seats damaged or missing
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6462,Restroom piping insulation damaged
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6463,Combined air / water unit no water supply
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR6489,Test well piping damaged
BLD_PLUM,Plumbing,EQ046,General Pipework and Fittings,PR8010,Geyser making noise/vibrating
BLD_ROOF,Roof,EQ052,Car Wash Building Roof,PR6003,Major structural damage (HSSE Hazard)
BLD_ROOF,Roof,EQ053,External Storage Building Roof,PR6003,Major structural damage (HSSE Hazard)
BLD_ROOF,Roof,EQ056,Restroom Building Roof,PR6003,Major structural damage (HSSE Hazard)
BLD_ROOF,Roof,EQ057,Shop / Sales Building Roof,PR6003,Major structural damage (HSSE Hazard)
BLD_ROOF,Roof,EQ058,Workshop Building Roof,PR6003,Major structural damage (HSSE Hazard)
BLD_ROOF,Roof,EQ051,Building Ceilings,PR6004,Minor structural damage
BLD_ROOF,Roof,EQ052,Car Wash Building Roof,PR6004,Minor structural damage
BLD_ROOF,Roof,EQ053,External Storage Building Roof,PR6004,Minor structural damage
BLD_ROOF,Roof,EQ056,Restroom Building Roof,PR6004,Minor structural damage
BLD_ROOF,Roof,EQ057,Shop / Sales Building Roof,PR6004,Minor structural damage
BLD_ROOF,Roof,EQ058,Workshop Building Roof,PR6004,Minor structural damage
BLD_ROOF,Roof,EQ055,Guttering and downpipes,PR6044,Roof guttering / downpipes blocked or damaged
BLD_ROOF,Roof,EQ052,Car Wash Building Roof,PR6045,Major roof leak (HSSE Hazard)
BLD_ROOF,Roof,EQ053,External Storage Building Roof,PR6045,Major roof leak (HSSE Hazard)
BLD_ROOF,Roof,EQ056,Restroom Building Roof,PR6045,Major roof leak (HSSE Hazard)
BLD_ROOF,Roof,EQ057,Shop / Sales Building Roof,PR6045,Major roof leak (HSSE Hazard)
BLD_ROOF,Roof,EQ058,Workshop Building Roof,PR6045,Major roof leak (HSSE Hazard)
BLD_ROOF,Roof,EQ052,Car Wash Building Roof,PR6046,Minor roof leak
BLD_ROOF,Roof,EQ053,External Storage Building Roof,PR6046,Minor roof leak
BLD_ROOF,Roof,EQ056,Restroom Building Roof,PR6046,Minor roof leak
BLD_ROOF,Roof,EQ057,Shop / Sales Building Roof,PR6046,Minor roof leak
BLD_ROOF,Roof,EQ058,Workshop Building Roof,PR6046,Minor roof leak
BLD_ROOF,Roof,EQ054,Fall Arrest system,PR6047,Fall arrest (roof) connection system faulty or damaged
BLD_SHOP,Shop / Sales Building,EQ059,Shop / Sales Building,PR6003,Major structural damage (HSSE Hazard)
BLD_SHOP,Shop / Sales Building,EQ059,Shop / Sales Building,PR6004,Minor structural damage
BLD_SHOP,Shop / Sales Building,EQ061,Shop Floor,PR6009,Floor surfaces cracked or damaged
BLD_SHOP,Shop / Sales Building,EQ062,Shop Floor Tiles,PR6011,Floor tiles damaged or missing
BLD_SHOP,Shop / Sales Building,EQ064,Shop Wall,PR6012,Walls cracked or damaged
BLD_SHOP,Shop / Sales Building,EQ059,Shop / Sales Building,PR6048,Steel structures damaged
BLD_SHOP,Shop / Sales Building,EQ060,Shop Fittings and Fixtures,PR6049,Shop fittings or fixtures faulty or damaged
BLD_SHOP,Shop / Sales Building,EQ063,Shop Suspended Ceiling,PR6050,Ceiling tiles or fittings damaged / broken
BLD_SHOP,Shop / Sales Building,EQ065,Shop Wall Tiles,PR6051,Wall tiles damaged or missing
BLD_STOR,External Storage building,EQ068,External Storage building Floor,PR6009,Floor surfaces cracked or damaged
BLD_STOR,External Storage building,EQ069,External Storage building Wall,PR6012,Walls cracked or damaged
BLD_STOR,External Storage building,EQ067,External Storage building Ceiling,PR6046,Minor roof leak
BLD_STOR,External Storage building,EQ066,External Storage building,PR6052,Storage building damaged
BLD_WIND,Windows,EQ070,General Windows,PR6020,Glass broken (HSSE Hazard)
BLD_WIND,Windows,EQ071,Shop Front Windows,PR6020,Glass broken (HSSE Hazard)
BLD_WIND,Windows,EQ070,General Windows,PR6021,Glass cracked
BLD_WIND,Windows,EQ071,Shop Front Windows,PR6021,Glass cracked
BLD_WIND,Windows,EQ070,General Windows,PR6053,Windows general fault
BLD_WIND,Windows,EQ071,Shop Front Windows,PR6053,Windows general fault
BLD_WKSP,Workshop Building,EQ072,Workshop,PR6003,Major structural damage (HSSE Hazard)
BLD_WKSP,Workshop Building,EQ072,Workshop,PR6004,Minor structural damage
BLD_WKSP,Workshop Building,EQ074,Workshop Building Floor,PR6009,Floor surfaces cracked or damaged
BLD_WKSP,Workshop Building,EQ076,Workshop Floor Leak Tight Surface,PR6010,Leak proof surfaces cracked or damaged
BLD_WKSP,Workshop Building,EQ075,Workshop Building Wall,PR6012,Walls cracked or damaged
BLD_WKSP,Workshop Building,EQ073,Workshop Building Ceiling,PR6017,Ceiling leaking or damaged
BLD_WKSP,Workshop Building,EQ072,Workshop,PR6048,Steel structures damaged
CON_COM,Communications Systems,EQ097,Intercom system (PA),PR6085,"PA Announcement system faulty (Attendant position or Forecourt ""call"" button)"
CON_COM,Communications Systems,EQ097,Intercom system (PA),PR6091,Dispenser island intercom system (PA) faulty or damaged
CON_FCC,Forecourt Controller System,EQ100,Forecourt Controller System,PR6092,Unable to authorise all dispensers from POS Console
CON_FCC,Forecourt Controller System,EQ100,Forecourt Controller System,PR6110,Unable to authorise a dispenser from POS Console
DRN_CW,Clean Water Drainage,EQ123,Clean Water Drainage,PR6131,One drain blocked
DRN_CW,Clean Water Drainage,EQ123,Clean Water Drainage,PR6132,Several drains blocked : major flooding
DRN_CW,Clean Water Drainage,EQ123,Clean Water Drainage,PR6133,Several drains blocked : minor flooding
DRN_CW,Clean Water Drainage,EQ124,Clean Water Drainage Grate Cover,PR6134,Drainage grates missing or damaged
DRN_ETP,Effluent Treatment Plant,EQ125,Effluent Treatment Plant,PR6135,Effluent (sewerage) treatment plant faulty or damaged
DRN_FW,Foul Water Drainage,EQ126,Foul Water Drainage,PR6132,Several drains blocked : major flooding
DRN_FW,Foul Water Drainage,EQ126,Foul Water Drainage,PR6133,Several drains blocked : minor flooding
DRN_FW,Foul Water Drainage,EQ126,Foul Water Drainage,PR6136,Sewerage piping cracked or damaged
DRN_FW,Foul Water Drainage,EQ127,Foul Water Drainage Grate Cover,PR6137,Sewer grates or covers damaged or missing
DRN_INCP,Interceptors,EQ128,Interceptors,PR6138,Oil interceptor basket / plate / cover missing or broken
DRN_INCP,Interceptors,EQ128,Interceptors,PR6139,"Oil interceptor blocked, damaged or faulty"
DRN_PMP,Pumping Station,EQ131,Pumping Station,PR6142,Drainage pump faulty
DRN_PRES,Sewage Displacement. Pressure system,EQ132,Sewage Displacement. Pressure system,PR6143,Sewerage displacement system fault
DRN_PUMP,Sewerage Displacement Pump,EQ133,Sewage Displacement. Pressure Pump,PR6144,Sewerage pump faulty or damaged
DRN_SEPT,Septic Tank,EQ134,Septic Tank,PR6145,"Septic tank full, blocked or inoperative"
DRN_SEPT,Septic Tank,EQ134,Septic Tank,PR6146,Septic tank or cover damaged
DRN_SEPT,Septic Tank,EQ134,Septic Tank,PR6147,Septic tank overflowing
DRN_SLUD,Sludge Trap,EQ135,Sludge Trap,PR6148,Sludge trap blocked / micro switch operated
ELC_DIST,Distribution Systems,EQ141,Fuel System Power Supplies,PR6062,Electrical fault / power failure
ELC_DIST,Distribution Systems,EQ142,General Power Outlets,PR6062,Electrical fault / power failure
ELC_DIST,Distribution Systems,EQ143,POS / BOS System Power Supplies,PR6062,Electrical fault / power failure
ELC_DIST,Distribution Systems,EQ145,Site Electrical Distribution Board,PR6062,Electrical fault / power failure
ELC_DIST,Distribution Systems,EQ146,Site Power Supplies,PR6062,Electrical fault / power failure
ELC_DIST,Distribution Systems,EQ137,Car Wash Building Power Supplies,PR6150,General electrical : major fault
ELC_DIST,Distribution Systems,EQ144,Shop / Sales Building Power Supplies,PR6150,General electrical : major fault
ELC_DIST,Distribution Systems,EQ146,Site Power Supplies,PR6150,General electrical : major fault
ELC_DIST,Distribution Systems,EQ147,Workshop Building Power Supplies,PR6150,General electrical : major fault
ELC_DIST,Distribution Systems,EQ137,Car Wash Building Power Supplies,PR6151,General electrical : minor fault
ELC_DIST,Distribution Systems,EQ144,Shop / Sales Building Power Supplies,PR6151,General electrical : minor fault
ELC_DIST,Distribution Systems,EQ146,Site Power Supplies,PR6151,General electrical : minor fault
ELC_DIST,Distribution Systems,EQ147,Workshop Building Power Supplies,PR6151,General electrical : minor fault
ELC_DIST,Distribution Systems,EQ137,Car Wash Building Power Supplies,PR6152,No power available
ELC_DIST,Distribution Systems,EQ138,Car Wash System Power Supplies,PR6152,No power available
ELC_DIST,Distribution Systems,EQ139,Forecourt Power Supplies,PR6152,No power available
ELC_DIST,Distribution Systems,EQ140,Fridge and Freezer Power Supplies,PR6152,No power available
ELC_DIST,Distribution Systems,EQ141,Fuel System Power Supplies,PR6152,No power available
ELC_DIST,Distribution Systems,EQ143,POS / BOS System Power Supplies,PR6152,No power available
ELC_DIST,Distribution Systems,EQ144,Shop / Sales Building Power Supplies,PR6152,No power available
ELC_DIST,Distribution Systems,EQ147,Workshop Building Power Supplies,PR6152,No power available
ELC_DIST,Distribution Systems,EQ137,Car Wash Building Power Supplies,PR6153,Power surge trip activated / fuses blown
ELC_DIST,Distribution Systems,EQ138,Car Wash System Power Supplies,PR6153,Power surge trip activated / fuses blown
ELC_DIST,Distribution Systems,EQ139,Forecourt Power Supplies,PR6153,Power surge trip activated / fuses blown
ELC_DIST,Distribution Systems,EQ140,Fridge and Freezer Power Supplies,PR6153,Power surge trip activated / fuses blown
ELC_DIST,Distribution Systems,EQ141,Fuel System Power Supplies,PR6153,Power surge trip activated / fuses blown
ELC_DIST,Distribution Systems,EQ143,POS / BOS System Power Supplies,PR6153,Power surge trip activated / fuses blown
ELC_DIST,Distribution Systems,EQ144,Shop / Sales Building Power Supplies,PR6153,Power surge trip activated / fuses blown
ELC_DIST,Distribution Systems,EQ147,Workshop Building Power Supplies,PR6153,Power surge trip activated / fuses blown
ELC_DIST,Distribution Systems,EQ142,General Power Outlets,PR6154,Light switch / socket damaged or faulty
ELC_DIST,Distribution Systems,EQ142,General Power Outlets,PR6155,Power sockets damaged or faulty
ELC_DIST,Distribution Systems,EQ145,Site Electrical Distribution Board,PR6156,Electrical distribution board / door damaged
ELC_DIST,Distribution Systems,EQ145,Site Electrical Distribution Board,PR6157,Electrical distribution board damaged (HSSE hazard)
ELC_DIST,Distribution Systems,EQ145,Site Electrical Distribution Board,PR6158,Emergency power shutdown (isolation) switch activated or faulty
ELC_DIST,Distribution Systems,EQ145,Site Electrical Distribution Board,PR6159,Surge protection system faulty
ELC_DIST,Distribution Systems,EQ146,Site Power Supplies,PR6160,Total loss of power to site
ELC_DIST,Distribution Systems,EQ145,Site Electrical Distribution Board,PR6491,Blanks in distribution board require replacing
ELC_DUCT,Ductwork,EQ148,"Cable Systems, Trunking and Tray",PR6161,Electrical Ductwork / Cabling exposed or hanging (HSSE hazard)
ELC_DUCT,Ductwork,EQ148,"Cable Systems, Trunking and Tray",PR6162,Electrical wiring / cables damaged or loose
ELC_ERTH,Earthing Systems,EQ149,Earthing Systems,PR6163,Earth system / cabling damaged or faulty
ELC_ERTH,Earthing Systems,EQ149,Earthing Systems,PR6164,Earth system fault alarm activated
ELC_LASP,Lightning and Surge Protection,*514838,Lightning and Surge Protection,PR6150,General electrical : major fault
ELC_LASP,Lightning and Surge Protection,*514838,Lightning and Surge Protection,PR6151,General electrical : minor fault
ELC_LASP,Lightning and Surge Protection,*514838,Lightning and Surge Protection,PR6159,Surge protection system faulty
ELC_LGHT,Lighting Systems,EQ154,Canopy Soffit Lighting,PR6004,Minor structural damage
ELC_LGHT,Lighting Systems,EQ151,Automatic Lighting Systems,PR6062,Electrical fault / power failure
